job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,100,False,,,0.0198,0.420236,run_6/f-603/ixs-802-804/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,98,False,,,0.0198,0.480902,run_6/f-603/ixs-802-804/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,94,False,,,0.0198,0.48896,run_6/f-603/ixs-802-804/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,92,False,,,0.0198,0.560824,run_6/f-603/ixs-802-804/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,97,False,,,0.0198,0.513611,run_6/f-603/ixs-802-804/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,93,False,,,0.0198,0.524533,run_6/f-603/ixs-802-804/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,91,False,,,0.0198,0.388715,run_6/f-603/ixs-802-804/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,96,False,,,0.0198,0.439597,run_6/f-603/ixs-802-804/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,single,99,False,,,0.0,,run_6/f-603/ixs-802-804/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,98,True,\n *******************************************************************************\n *   ___                                                                       *\n *  /   \                                                                      *\n * [ABORT]                                                                     *\n *  \___/         Cholesky decomposition failed. Matrix ill conditioned ?      *\n *    |                                                                        *\n *  O/|                                                                        *\n * /| |                                                                        *\n * / \                                                 cp_dbcsr_cholesky.F:120 *\n *******************************************************************************\n,Error.Cp2kError,0.0,,run_6/f-603/ixs-802-804/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,91,False,,,0.0198,0.517361,run_6/f-603/ixs-802-804/triple/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,92,False,,,0.0198,0.555702,run_6/f-603/ixs-802-804/triple/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,99,False,,,0.0198,0.492968,run_6/f-603/ixs-802-804/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,100,False,,,0.0198,0.4128,run_6/f-603/ixs-802-804/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,93,False,,,0.0198,0.330133,run_6/f-603/ixs-802-804/triple/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,94,False,,,0.0198,0.560352,run_6/f-603/ixs-802-804/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,96,False,,,0.0198,0.440548,run_6/f-603/ixs-802-804/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,95,False,,,0.0198,0.465095,run_6/f-603/ixs-802-804/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,802,804,triple,97,False,,,0.0198,0.519213,run_6/f-603/ixs-802-804/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,99,False,,,0.0198,0.351267,run_6/f-603/ixs-745-747/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,100,False,,,0.0198,0.455965,run_6/f-603/ixs-745-747/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,96,False,,,0.0198,0.395699,run_6/f-603/ixs-745-747/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,94,False,,,0.0198,0.338524,run_6/f-603/ixs-745-747/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,92,False,,,0.0198,0.415807,run_6/f-603/ixs-745-747/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,95,False,,,0.0198,0.329747,run_6/f-603/ixs-745-747/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,93,False,,,0.0198,0.381642,run_6/f-603/ixs-745-747/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,97,False,,,0.0198,0.477962,run_6/f-603/ixs-745-747/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,91,False,,,0.0198,0.44948,run_6/f-603/ixs-745-747/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,single,98,False,,,0.0198,0.385772,run_6/f-603/ixs-745-747/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,93,False,,,0.0198,0.637365,run_6/f-603/ixs-745-747/triple/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,91,False,,,0.0,,run_6/f-603/ixs-745-747/triple/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,94,False,,,0.0198,0.418786,run_6/f-603/ixs-745-747/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,97,False,,,0.0198,0.429805,run_6/f-603/ixs-745-747/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,99,False,,,0.0198,0.473174,run_6/f-603/ixs-745-747/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,100,False,,,0.0198,0.534809,run_6/f-603/ixs-745-747/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,98,False,,,0.0198,0.552845,run_6/f-603/ixs-745-747/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,92,False,,,0.0198,0.544283,run_6/f-603/ixs-745-747/triple/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,96,False,,,0.0198,0.448536,run_6/f-603/ixs-745-747/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,745,747,triple,95,False,,,0.0198,0.398049,run_6/f-603/ixs-745-747/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,97,False,,,0.0198,0.535889,run_6/f-603/ixs-1466-1468/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,95,False,,,0.0198,0.51071,run_6/f-603/ixs-1466-1468/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,92,False,,,0.0198,0.504923,run_6/f-603/ixs-1466-1468/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,91,False,,,0.0198,0.547317,run_6/f-603/ixs-1466-1468/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,99,False,,,0.0198,0.529261,run_6/f-603/ixs-1466-1468/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,100,False,,,0.0198,0.538283,run_6/f-603/ixs-1466-1468/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,98,False,,,0.0198,0.422319,run_6/f-603/ixs-1466-1468/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,93,False,,,0.0198,0.529402,run_6/f-603/ixs-1466-1468/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,94,False,,,0.0198,0.395466,run_6/f-603/ixs-1466-1468/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,single,96,False,,,0.0198,0.498446,run_6/f-603/ixs-1466-1468/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,99,False,,,0.0198,0.59517,run_6/f-603/ixs-1466-1468/triple/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,94,False,,,0.0198,0.479007,run_6/f-603/ixs-1466-1468/triple/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,98,False,,,0.0198,0.596853,run_6/f-603/ixs-1466-1468/triple/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,92,False,,,0.0198,0.522212,run_6/f-603/ixs-1466-1468/triple/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,93,False,,,0.0198,0.66209,run_6/f-603/ixs-1466-1468/triple/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,96,False,,,0.0,,run_6/f-603/ixs-1466-1468/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,100,False,,,0.0198,0.563968,run_6/f-603/ixs-1466-1468/triple/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,95,False,,,0.0,,run_6/f-603/ixs-1466-1468/triple/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,97,False,,,0.0,,run_6/f-603/ixs-1466-1468/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,1466,1468,triple,91,False,,,0.0198,0.574037,run_6/f-603/ixs-1466-1468/triple/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,99,False,,,0.0198,0.525576,run_6/f-603/ixs-881-883/single/frame-99
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,94,False,,,0.0198,0.365457,run_6/f-603/ixs-881-883/single/frame-94
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,93,False,,,0.0,,run_6/f-603/ixs-881-883/single/frame-93
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,97,False,,,0.0198,0.548906,run_6/f-603/ixs-881-883/single/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,96,False,,,0.0198,0.382206,run_6/f-603/ixs-881-883/single/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,98,False,,,0.0198,0.405392,run_6/f-603/ixs-881-883/single/frame-98
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,92,False,,,0.0198,0.373083,run_6/f-603/ixs-881-883/single/frame-92
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,100,False,,,0.0198,0.439939,run_6/f-603/ixs-881-883/single/frame-100
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,95,False,,,0.0198,0.315084,run_6/f-603/ixs-881-883/single/frame-95
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,single,91,False,,,0.0198,0.453557,run_6/f-603/ixs-881-883/single/frame-91
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,97,False,,,0.0198,0.521654,run_6/f-603/ixs-881-883/triple/frame-97
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,96,False,,,0.0198,0.477,run_6/f-603/ixs-881-883/triple/frame-96
wethyd-warmup,run_6,TZV2P-MOLOPT-GTH,PBE,603,881,883,triple,93,False,,,0.0198,0.639936,run_6/f-603/ixs-881-883/triple/frame-93
